id;type;text;time
1;REGISTERED;repurpose Credit Card Account;2021-02-20T07:04:37
2;MESSAGE;Plastic AGP Practical Wooden Cheese;2021-02-20T12:43:55
3;CREATE_COURSE;Iceland Krona task-force;2021-02-20T08:55:19
4;MESSAGE;compress Fish Belarus;2021-02-21T03:35:17
5;PARTICIPANT;B2B;2021-02-20T07:05:35
6;CREATE_COURSE;Small Circle;2021-02-20T07:17:46
7;LOGIN;Investment Account Fresh;2021-02-20T12:38:03
8;REGISTERED;Credit Card Account Light;2021-02-20T21:28:33
9;ERROR;auxiliary Costa Rican Colon input;2021-02-20T21:53:05
10;PAYMENT;integrated;2021-02-20T20:59:03
