id;key;value;note;enabled
1;Developer Integration;Tasty Rubber Shoes;Industrial Soft;false
2;programming architect;Awesome payment syndicate;magenta;true
3;deposit transparent;Security Montana;SDR navigating Arkansas;false
4;Producer;Refined Metal Towels;scalable Road;true
5;Games drive;24/7 Silver;application;true
6;Wooden Bacon;networks Rufiyaa;Analyst;true
7;Paraguay visualize matrix;Kansas challenge;withdrawal;true
8;Practical Soft Gloves Point algorithm;Rubber seize RAM;Plastic;true
9;Sausages West Virginia Algerian Dinar;Gorgeous Bacon;Identity;false
10;withdrawal index Tenge;Small;Functionality Toys;true
