id;title;info;google_url
1;circuit Buckinghamshire;Seamless;content THX
2;Fresh THX;sensor Metrics;Product overriding Utah
3;emulation program bluetooth;Savings Account;frictionless Bedfordshire
4;Senior;digital;responsive withdrawal
5;Profound transparent parse;Club Licensed;wireless
6;multi-byte;bypassing Luxembourg;Cambridgeshire lime
7;Cambridgeshire;Namibia;support South Dakota
8;override Program system engine;Ameliorated Toys;withdrawal alliance Factors
9;Mills 5th generation;Forward;zero defect open-source
10;Factors;distributed;Stand-alone
