id;title_uz;title_ru;title_en;about;plan_file;plan_file_content_type
1;migration Incredible Plastic Towels HDD;Berkshire deposit programming;Investment Account South Dakota hard drive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;Tactics;Soft Beauty;copying;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;optical;benchmark back-end Mouse;synergy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;back up;Neck Buckinghamshire Money Market Account;deliverables Dalasi;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;Kids logistical;Turkmenistan Iceland Krona;Latvia Sleek;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;tertiary;innovative Savings Account Money Market Account;Frozen Money Market Account Assurance;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;Phased synergize;Chicken Mexico Legacy;withdrawal input;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;Producer Wooden;Buckinghamshire upward-trending lavender;national Electronics Underpass;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;programming;disintermediate capability;Hryvnia Awesome Cotton Table;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;Silver Balboa US Dollar;Program;calculate bluetooth Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
