id;key;value;note;enabled
1;Cloned;Grocery Incredible Concrete Chair;seize Maine feed;true
2;copy North Carolina neural;Plastic;Motorway benchmark repurpose;true
3;copy;web services Developer;Accounts evolve;false
4;Human;Proactive;Electronics;false
5;Extended contextually-based;primary;Avon mint green array;false
6;Towels SDD;Assistant Assimilated;JBOD;false
7;invoice calculate;back-end Iowa exploit;Buckinghamshire;true
8;program;HDD Analyst;Savings Account solution magenta;false
9;value-added Fantastic firmware;Expressway Unbranded Concrete Bacon;navigating success encryption;false
10;Checking Account Avon Buckinghamshire;Security Wooden;index;false
